id,first_name,last_name,position,height,weight,jersey_number,college,country,draft_year,draft_round,draft_number,team_id,team_abbreviation,team_city,team_name,team_conference,team_division
323,Naz,Mitrou-Long,G,6-3,218,15,Iowa State,Canada,,,,29,UTA,Utah,Jazz,West,Northwest
324,Malik,Monk,G,6-3,200,0,Kentucky,USA,2017.0,1.0,11.0,26,SAC,Sacramento,Kings,West,Pacific
325,Greg,Monroe,C,6-10,250,15,Georgetown,USA,2010.0,1.0,7.0,18,MIN,Minnesota,Timberwolves,West,Northwest
326,E'Twaun,Moore,G,6-3,191,55,Purdue,USA,2011.0,2.0,55.0,22,ORL,Orlando,Magic,East,Southeast
327,Jaylen,Morris,G,6-5,185,3,Molloy,USA,,,,27,SAS,San Antonio,Spurs,West,Southwest
328,Marcus,Morris,F,6-8,218,24,Kansas,USA,2011.0,1.0,14.0,6,CLE,Cleveland,Cavaliers,East,Central
329,Markieff,Morris,F,6-9,245,88,Kansas,USA,2011.0,1.0,13.0,14,LAL,Los Angeles,Lakers,West,Pacific
330,Monte,Morris,G,6-2,183,23,Iowa State,USA,2017.0,2.0,51.0,12,IND,Indiana,Pacers,East,Central
331,Johnathan,Motley,F,6-8,230,15,Baylor,USA,,,,13,LAC,LA,Clippers,West,Pacific
332,Timofey,Mozgov,C,7-1,275,21,Khimki,Russia,,,,8,DEN,Denver,Nuggets,West,Northwest
333,Emmanuel,Mudiay,G,6-3,200,15,Guangdong,Democratic Republic of the Congo,2015.0,1.0,7.0,26,SAC,Sacramento,Kings,West,Pacific
334,Dejounte,Murray,G,6-4,180,5,Washington,USA,2016.0,1.0,29.0,19,NOP,New Orleans,Pelicans,West,Southwest
335,Jamal,Murray,G,6-4,215,27,Kentucky,Canada,2016.0,1.0,7.0,8,DEN,Denver,Nuggets,West,Northwest
336,Dzanan,Musa,G-F,6-9,217,13,Cedevita,Bosnia and Herzegovina,2018.0,1.0,29.0,3,BKN,Brooklyn,Nets,East,Atlantic
337,Mike,Muscala,F-C,6-10,240,50,Bucknell,USA,2013.0,2.0,44.0,21,OKC,Oklahoma City,Thunder,West,Northwest
338,Svi,Mykhailiuk,G,6-7,205,10,Kansas,Ukraine,2018.0,2.0,47.0,29,UTA,Utah,Jazz,West,Northwest
339,Abdel,Nader,F,6-5,225,11,Iowa State,Egypt,2016.0,2.0,58.0,24,PHX,Phoenix,Suns,West,Pacific
340,Larry,Nance Jr.,F,6-6,245,22,Wyoming,USA,2015.0,1.0,27.0,6,CLE,Cleveland,Cavaliers,East,Central
341,Shabazz,Napier,G,6-0,175,5,Connecticut,USA,2014.0,1.0,24.0,25,POR,Portland,Trail Blazers,West,Northwest
342,Nene,,C-F,6-11,250,42,Vasco de Gama,Brazil,2002.0,1.0,7.0,8,DEN,Denver,Nuggets,West,Northwest
343,Raul,Neto,G,6-2,180,19,Murcia,Brazil,2013.0,2.0,47.0,6,CLE,Cleveland,Cavaliers,East,Central
